iter	RMSE
0	44.64166862
1	43.8108443
2	43.0228193
3	42.30029769
4	41.63658967
5	40.9987015
6	40.42426779
7	39.89353487
8	39.41344424
9	38.95310669
10	38.54663531
11	38.1674924
12	37.80602433
13	37.48101888
14	37.21824544
15	36.94266787
16	36.72427668
17	36.49473262
18	36.29218863
19	36.09077902
20	35.91858778
21	35.76657924
22	35.61999919
23	35.48584325
24	35.35668349
25	35.23926009
26	35.12696996
27	35.02434611
28	34.95607137
29	34.86786194
30	34.79112196
31	34.71402363
32	34.65420287
33	34.58743065
34	34.50882388
35	34.44534854
36	34.39984258
37	34.34372331
38	34.29029625
39	34.23821247
40	34.20027184
41	34.1674657
42	34.12830546
43	34.09543452
44	34.06574968
45	34.0241307
46	34.01257295
47	33.9868177
48	33.95150442
49	33.92337143
50	33.88945397
51	33.85860085
52	33.84448952
53	33.80582775
54	33.77202721
55	33.73469415
56	33.72693514
57	33.70610014
58	33.68569707
59	33.65515593
60	33.65218551
61	33.62076335
62	33.59912989
63	33.57203055
64	33.54606614
65	33.53001987
66	33.50824029
67	33.49419596
68	33.47950945
69	33.46519578
70	33.4560038
71	33.44346496
72	33.44005363
73	33.42833356
74	33.41026802
75	33.39892539
76	33.36929867
77	33.35479711
78	33.34975648
79	33.33393042
80	33.31724503
81	33.30748497
82	33.30182205
83	33.28791599
84	33.27691347
85	33.25900523
86	33.25134938
87	33.23646686
88	33.21886227
89	33.20333759
90	33.18544637
91	33.16899091
92	33.15526713
93	33.14583107
94	33.1300915
95	33.12501757
96	33.11727077
97	33.11015205
98	33.09009755
99	33.07837179
100	33.07629905
101	33.06436699
102	33.06306828
103	33.06233038
104	33.0610079
105	33.05303032
106	33.05036382
107	33.04252504
108	33.02792947
109	33.0140599
110	32.99959038
111	32.99487374
112	32.99005772
113	32.97295851
114	32.9727274
115	32.96607676
116	32.95691346
117	32.94939245
118	32.93885135
119	32.93864899
120	32.93398216
121	32.92298478
122	32.91840913
123	32.90653954
124	32.89921177
125	32.8873668
126	32.87537682
127	32.87283914
128	32.86278867
129	32.85955991
130	32.8511163
131	32.83772278
132	32.83772038
133	32.8216222
134	32.81379496
135	32.79995904
136	32.79765538
137	32.78701831
138	32.77863869
