iter	Passed	Remaining
0	5	5860
1	11	5780
2	13	4640
3	17	4437
4	18	3750
5	23	3824
6	26	3825
7	28	3537
8	31	3443
9	35	3493
10	37	3361
11	42	3498
12	44	3411
13	49	3504
14	54	3591
15	55	3436
16	58	3378
17	63	3459
18	65	3356
19	69	3413
20	74	3467
21	79	3544
22	82	3505
23	86	3499
24	88	3449
25	94	3533
26	98	3536
27	102	3562
28	107	3583
29	111	3617
30	117	3687
31	124	3763
32	129	3786
33	131	3747
34	135	3730
35	138	3714
36	143	3723
37	146	3715
38	151	3726
39	156	3759
40	158	3717
41	161	3683
42	167	3717
43	171	3716
44	175	3728
45	179	3729
46	182	3706
47	186	3702
48	191	3712
49	195	3716
50	201	3748
51	207	3786
52	212	3800
53	218	3823
54	222	3816
55	226	3817
56	230	3808
57	233	3788
58	238	3802
59	243	3813
60	248	3821
61	251	3803
62	255	3797
63	260	3814
64	264	3800
65	268	3794
66	269	3753
67	272	3734
68	277	3738
69	281	3736
70	284	3727
71	289	3737
72	296	3759
73	301	3775
74	307	3790
75	311	3789
76	314	3774
77	318	3759
78	323	3765
79	326	3756
80	330	3754
81	336	3765
82	340	3762
83	344	3755
84	347	3739
85	350	3729
86	354	3716
87	357	3708
88	361	3705
89	366	3705
90	370	3696
91	373	3688
92	377	3686
93	381	3676
94	384	3663
95	388	3656
96	391	3643
97	396	3652
98	399	3639
99	403	3634
100	405	3609
101	409	3601
102	414	3609
103	418	3601
104	422	3604
105	426	3600
106	432	3605
107	437	3612
108	441	3612
109	446	3613
110	450	3606
111	456	3615
112	460	3612
113	464	3607
114	468	3604
115	473	3610
116	477	3601
117	481	3598
118	483	3576
119	487	3573
120	491	3567
121	492	3544
122	497	3549
123	503	3555
124	504	3532
125	509	3535
126	514	3536
127	518	3534
128	520	3511
129	523	3500
130	528	3505
131	531	3494
132	539	3519
133	543	3511
134	544	3486
135	548	3485
136	553	3485
137	557	3484
138	561	3480
139	564	3469
140	569	3468
141	573	3466
142	577	3463
143	582	3462
144	584	3447
145	591	3457
146	597	3466
147	602	3471
148	608	3475
149	613	3473
150	618	3477
151	621	3468
152	626	3466
153	630	3463
154	635	3463
155	640	3464
156	644	3460
157	648	3455
158	651	3448
159	655	3443
160	660	3441
161	663	3434
162	667	3429
163	672	3427
164	676	3421
165	680	3418
166	684	3413
167	690	3420
168	695	3420
169	697	3405
170	703	3409
171	707	3406
172	711	3401
173	716	3399
174	719	3392
175	723	3385
176	726	3376
177	729	3368
178	732	3359
179	736	3355
180	740	3351
181	743	3343
182	747	3336
183	753	3343
184	758	3340
185	762	3338
186	768	3339
187	773	3342
188	777	3336
189	782	3333
190	785	3326
191	788	3319
192	792	3314
193	796	3308
194	800	3303
195	803	3297
196	808	3293
197	812	3290
198	815	3282
199	818	3274
200	822	3267
201	825	3261
202	830	3259
203	833	3251
204	840	3257
205	843	3251
206	847	3247
207	851	3241
208	854	3234
209	858	3231
210	862	3226
211	866	3222
212	870	3215
213	873	3207
214	876	3198
215	879	3191
216	883	3187
217	888	3187
218	892	3183
219	895	3176
220	899	3171
221	903	3167
222	907	3163
223	911	3158
224	915	3153
225	920	3151
226	923	3145
227	928	3142
228	932	3137
229	936	3133
230	940	3130
231	944	3125
232	948	3122
233	953	3120
234	956	3114
235	961	3111
236	965	3107
237	968	3102
238	973	3100
239	977	3095
240	980	3087
241	984	3084
242	991	3090
243	999	3097
244	1005	3099
245	1009	3095
246	1014	3092
247	1019	3092
248	1024	3090
249	1028	3086
250	1033	3085
251	1038	3083
252	1042	3078
253	1047	3076
254	1052	3073
255	1056	3070
256	1061	3069
257	1067	3068
258	1070	3063
259	1074	3059
260	1079	3057
261	1083	3053
262	1088	3049
263	1091	3044
264	1097	3043
265	1102	3042
266	1107	3039
267	1112	3038
268	1117	3036
269	1121	3032
270	1126	3030
271	1130	3025
272	1135	3024
273	1139	3019
274	1144	3016
275	1148	3013
276	1153	3010
277	1157	3005
278	1162	3003
279	1167	3001
280	1171	2998
281	1178	3001
282	1184	3001
283	1188	2995
284	1218	3056
285	1227	3064
286	1235	3069
287	1242	3071
288	1249	3073
289	1255	3074
290	1264	3079
291	1269	3077
292	1273	3071
293	1277	3067
294	1281	3062
295	1284	3055
296	1288	3049
297	1292	3044
298	1296	3040
299	1301	3035
300	1304	3030
301	1308	3023
302	1312	3019
303	1316	3013
304	1320	3009
305	1324	3004
306	1328	2998
307	1332	2994
308	1336	2988
309	1340	2983
310	1343	2976
311	1347	2971
312	1351	2966
313	1356	2964
314	1360	2959
315	1364	2953
316	1368	2947
317	1371	2941
318	1375	2936
319	1379	2930
320	1382	2924
321	1386	2918
322	1392	2918
323	1396	2913
324	1399	2905
325	1403	2901
326	1407	2897
327	1412	2894
328	1417	2890
329	1421	2886
330	1426	2883
331	1431	2879
332	1435	2874
333	1439	2869
334	1443	2865
335	1448	2861
336	1450	2854
337	1455	2850
338	1459	2845
339	1464	2842
340	1468	2837
341	1474	2836
342	1480	2836
343	1485	2832
344	1491	2832
345	1497	2829
346	1502	2827
347	1509	2827
348	1514	2824
349	1517	2818
350	1522	2815
351	1527	2812
352	1531	2806
353	1536	2803
354	1541	2801
355	1546	2796
356	1550	2792
357	1553	2785
358	1558	2782
359	1561	2776
360	1565	2771
361	1570	2768
362	1574	2763
363	1580	2761
364	1583	2755
365	1587	2749
366	1590	2743
367	1594	2738
368	1598	2732
369	1602	2728
370	1605	2721
371	1609	2717
372	1615	2715
373	1619	2711
374	1623	2706
375	1627	2701
