iter	RMSE
0	35.09051288
1	35.00708674
2	34.92782162
3	34.8769656
4	34.83317602
5	34.7756645
6	34.72339381
7	34.67391142
8	34.62893252
9	34.57388538
10	34.54487809
11	34.50114554
12	34.45304527
13	34.42696093
14	34.38960222
15	34.35813314
16	34.32582106
17	34.29973576
18	34.26407327
19	34.22724664
20	34.20098159
21	34.17632341
22	34.14876711
23	34.1285367
24	34.11106182
25	34.08220346
26	34.05061426
27	34.02795744
28	34.01377969
29	33.99656756
30	33.97984307
31	33.96824786
32	33.95388208
33	33.92977174
34	33.91375971
35	33.89314862
36	33.87868453
37	33.84761367
38	33.83646758
39	33.83574517
40	33.81758907
41	33.79715411
42	33.77640975
43	33.75844701
44	33.73965794
45	33.71816845
46	33.70798311
47	33.69731075
48	33.68062979
49	33.66839818
50	33.64960157
51	33.62572521
52	33.6041359
53	33.58925108
54	33.57884874
55	33.56251444
56	33.54691868
57	33.53894262
58	33.52633737
59	33.5184173
60	33.51418024
61	33.50061335
62	33.48556607
63	33.46677311
64	33.45169514
65	33.45169442
66	33.44490903
67	33.43307566
68	33.40966608
69	33.40619821
70	33.38973552
71	33.38350749
72	33.37215585
73	33.36592295
74	33.34948609
75	33.33491176
76	33.32925541
77	33.31145545
78	33.30540689
79	33.29955609
80	33.2858889
81	33.26670481
82	33.26099061
83	33.24200706
84	33.23241697
85	33.22299945
86	33.21389068
87	33.19984611
88	33.1887327
89	33.17515893
90	33.15362714
91	33.14336893
92	33.1353687
93	33.13129136
94	33.12757047
95	33.11861819
96	33.10916283
97	33.10460453
98	33.09854192
99	33.08336308
100	33.07562696
101	33.07053405
102	33.06097345
103	33.05044952
104	33.04591055
105	33.04017463
106	33.02847956
107	33.01929226
108	33.0156296
109	33.01021332
110	33.00159394
111	32.98899876
112	32.98015518
113	32.96764765
114	32.95393062
115	32.93939983
116	32.93460753
117	32.92371371
118	32.91725561
119	32.91411068
120	32.90794002
121	32.89717771
122	32.8945849
123	32.88569868
124	32.87756018
125	32.86985811
126	32.85538341
127	32.84771492
128	32.84062733
129	32.8296017
130	32.82040596
131	32.81552839
132	32.79974978
133	32.79159887
134	32.78233726
135	32.76285106
136	32.74974897
137	32.74661136
138	32.74092374
139	32.73708042
140	32.73235069
141	32.72811081
142	32.71448104
143	32.7090796
144	32.69730782
145	32.69261714
146	32.69190891
147	32.68601301
148	32.68574036
149	32.67584695
150	32.67088695
151	32.65842647
152	32.65529347
153	32.65347291
154	32.64801592
155	32.64751901
156	32.64018882
157	32.62837197
158	32.61902961
159	32.61034235
160	32.60863123
161	32.59945217
162	32.59752388
163	32.59016395
164	32.58724318
165	32.58179626
166	32.57740643
167	32.57074463
168	32.56665556
169	32.56251964
170	32.55536336
171	32.55535653
172	32.55304289
173	32.54585272
174	32.54071703
175	32.53132778
176	32.52247099
177	32.51289737
178	32.5086664
179	32.50275945
180	32.49980373
181	32.4877683
182	32.47876696
183	32.47398203
184	32.46879851
185	32.46477296
186	32.45833675
187	32.45685791
188	32.45415391
189	32.4439913
190	32.43690653
191	32.43150292
192	32.42822696
193	32.42168316
194	32.41702291
195	32.40936868
196	32.40801573
197	32.40439879
198	32.39718885
199	32.38811126
200	32.38361785
201	32.38110775
202	32.37694935
203	32.36542318
204	32.36172845
205	32.35706036
206	32.35384871
207	32.34842904
208	32.34424242
209	32.34138467
210	32.33389565
211	32.33016367
212	32.32648259
213	32.31839016
214	32.31364717
215	32.30953705
216	32.30296929
217	32.3004565
218	32.29604627
219	32.29202905
220	32.28340963
221	32.27119505
222	32.26143106
223	32.25885038
224	32.25631097
225	32.25104183
226	32.24497679
227	32.23755914
228	32.23482329
229	32.23254811
230	32.22473445
231	32.22163864
232	32.21646815
233	32.21275519
234	32.1992534
235	32.19368612
236	32.18739211
237	32.18509134
238	32.17519553
239	32.16702072
240	32.1634681
241	32.15999627
242	32.15150324
243	32.14827303
244	32.14704545
245	32.13982831
246	32.13690907
247	32.13374099
248	32.12957302
249	32.12434566
250	32.12318665
251	32.11738891
252	32.1114823
253	32.10696755
254	32.10462072
255	32.09955372
256	32.09792458
257	32.08745424
258	32.08030957
259	32.07076685
260	32.06251198
261	32.05913716
262	32.0574684
263	32.05040327
264	32.03972352
265	32.03853021
266	32.03255373
267	32.02903233
268	32.02686681
269	32.02323613
270	32.0116904
271	32.00602993
272	32.00447677
273	32.00170811
274	31.9891055
275	31.98289244
276	31.97047788
277	31.96261335
278	31.95582319
279	31.95222211
280	31.94883705
281	31.94130512
282	31.93711923
283	31.93203263
284	31.92499237
285	31.91927753
286	31.91185831
287	31.90702359
288	31.9030682
289	31.89981207
290	31.89877186
291	31.89490506
292	31.89365359
293	31.88839229
294	31.88062072
295	31.87983472
296	31.87858261
297	31.873028
298	31.86918183
299	31.86555401
300	31.85446502
301	31.84730256
302	31.83669313
303	31.82775818
304	31.82508968
305	31.81850664
306	31.81374598
307	31.81091842
308	31.80629982
309	31.79580595
310	31.79417564
311	31.78349055
312	31.77457541
313	31.7699613
314	31.76525917
315	31.75964367
316	31.75347534
317	31.74893568
318	31.74627711
319	31.74163394
320	31.7362079
321	31.7347974
