iter	Passed	Remaining
0	2	737
1	4	748
2	6	726
3	9	770
4	11	755
5	14	770
6	17	778
7	18	743
8	21	755
9	24	771
10	26	741
11	29	768
12	32	768
13	33	744
14	36	752
15	38	741
16	41	740
17	43	737
18	47	750
19	50	756
20	53	762
21	56	764
22	59	772
23	61	765
24	63	757
25	66	757
26	68	746
27	70	738
28	72	735
29	75	733
30	78	733
31	80	733
32	83	729
33	86	734
34	90	739
35	92	737
36	95	736
37	98	737
38	100	730
39	101	713
40	104	716
41	106	710
42	109	709
43	112	710
44	115	710
45	117	706
46	120	704
47	123	705
48	126	702
49	128	699
50	131	697
51	133	695
52	136	690
53	138	687
54	141	684
55	143	679
56	144	673
57	147	671
58	149	666
59	152	664
60	153	655
61	154	649
62	157	647
63	159	642
64	161	640
65	162	632
66	167	635
67	169	634
68	172	632
69	174	626
70	175	621
71	177	618
72	179	612
73	182	610
74	184	608
75	186	604
76	189	602
77	192	601
78	194	597
79	197	598
80	200	596
81	203	596
82	206	594
83	208	591
84	210	587
85	213	585
86	215	582
87	218	580
88	220	578
89	224	578
90	227	576
91	230	575
92	233	574
93	235	571
94	238	570
95	241	568
96	244	566
97	246	564
98	249	561
99	252	559
100	255	559
101	257	555
102	259	551
103	262	549
104	266	550
105	268	547
106	271	545
107	273	542
108	276	540
109	280	539
110	282	536
111	284	533
112	286	530
113	289	527
114	292	525
115	295	524
116	298	522
117	300	519
118	302	516
119	305	514
120	308	512
121	311	510
122	314	508
123	316	505
124	319	503
125	321	499
126	323	497
127	326	494
128	329	492
129	331	489
130	335	488
131	338	486
132	340	483
133	342	480
134	345	478
135	347	475
136	351	473
137	354	472
138	356	469
139	359	467
140	361	464
141	364	461
142	367	459
143	369	456
144	371	453
145	374	451
146	376	447
147	378	445
148	380	442
149	383	440
150	386	437
151	389	435
152	392	433
153	401	437
154	409	441
155	414	441
156	417	439
157	424	440
158	428	439
159	431	436
160	434	434
161	437	431
162	440	429
163	442	426
164	444	423
165	447	420
166	450	418
167	453	415
168	455	412
169	457	408
170	459	405
171	460	401
172	463	399
173	465	396
174	468	393
175	471	390
176	473	388
177	475	385
178	478	382
179	481	379
180	484	377
181	487	374
182	490	372
183	492	369
184	495	366
185	497	363
186	500	361
187	503	358
188	505	355
189	508	353
190	511	350
191	512	347
192	515	344
193	518	342
194	521	339
195	524	337
196	527	334
197	531	332
198	533	329
199	536	327
200	538	324
201	541	321
202	543	318
203	546	316
204	549	313
205	552	311
206	555	308
207	558	306
208	560	303
209	562	300
210	566	297
211	568	295
212	571	292
213	574	289
214	575	286
215	578	284
216	581	281
217	584	278
218	586	276
219	589	273
220	591	270
221	594	267
222	596	265
223	599	262
224	602	259
225	605	257
226	607	254
227	610	251
228	612	248
229	615	246
230	618	243
231	620	240
232	622	237
233	625	235
234	628	232
235	630	229
236	632	226
237	634	223
238	637	221
239	639	218
240	641	215
241	643	212
242	645	209
243	648	207
244	651	204
245	653	201
246	656	199
247	659	196
248	661	194
249	664	191
250	667	188
251	671	186
252	674	184
253	677	181
254	680	178
255	682	175
256	684	173
257	687	170
258	690	167
259	692	165
260	695	162
261	697	159
262	700	157
263	702	154
264	704	151
265	707	149
266	710	146
267	714	143
268	717	141
269	719	138
270	721	135
271	724	133
272	726	130
273	729	127
274	732	125
275	735	122
276	738	119
277	740	117
278	743	114
279	746	112
280	748	109
281	752	106
282	754	103
283	756	101
284	759	98
285	762	95
286	765	93
287	768	90
288	770	88
289	772	85
290	775	82
291	778	79
292	780	77
293	783	74
294	786	71
295	789	69
296	791	66
297	794	63
298	796	61
299	799	58
300	801	55
301	804	53
302	806	50
303	810	47
304	813	45
305	816	42
306	819	40
307	822	37
308	825	34
309	827	32
310	829	29
311	832	26
312	835	24
313	838	21
314	841	18
315	843	16
316	846	13
317	849	10
318	853	8
319	856	5
320	859	2
321	861	0
